iso3c,year,ChildMortality,GDPpc
AFG,2017,64.6,2096.09311055337
AFG,2014,73.4,2110.82956797747
AFG,2016,67.2,2023.83465629732
AFG,2012,80.3,1958.44762747924
AFG,2021,55.7,1673.14418861155
AFG,2007,100,1287.06440027539
AFG,2018,62.2,2110.23938365518
AFG,2019,59.9,2168.13376468688
AFG,2001,125.3,
AFG,2011,84,1749.93699491677
AFG,2015,70.2,2128.12593822669
AFG,2008,95.9,1336.21033898238
AFG,2020,57.8,2078.59508637203
AFG,2006,104.3,1120.89312847686
AFG,2002,121.2,943.116264973779
AFG,2000,129.3,
AFG,2009,91.8,1575.31677908966
AFG,2010,87.8,1771.19798501195
AFG,2003,117,970.645114676507
AFG,2004,112.8,971.811023482828
AFG,2005,108.6,1075.67137317936
AFG,2013,76.8,2062.05917625276
ALB,2003,22.9,5000.33669862432
ALB,2001,25.8,4300.82779352662
ALB,2002,24.4,4751.75772667328
ALB,2013,10.5,10570.9731581409
ALB,2004,21.5,5427.8558132697
ALB,2000,27.2,3861.30093630736
ALB,2012,11.2,10526.2388106069
ALB,2005,20,5865.29135442867
ALB,2014,9.9,11259.3036811774
ALB,2016,9.4,12078.7842635213
ALB,2017,9.3,12770.9664236798
ALB,2008,15.8,8228.37543743763
ALB,2018,9.3,13498.157987926
ALB,2010,13.3,9627.07697313628
ALB,2011,12.2,10207.7247723504
ALB,2015,9.6,11658.8307104915
ALB,2021,9.5,16262.6634527606
ALB,2009,14.5,8812.73979686053
ALB,2006,18.5,6566.54932465516
ALB,2007,17.1,7284.99042880803
ALB,2019,9.4,14618.3006097429
ALB,2020,9.4,14437.1730660262
DZA,2006,32.3,11861.1660564982
DZA,2019,23.5,12120.4063737646
DZA,2020,22.9,11452.2266239549
DZA,2021,22.3,12170.1937766883
DZA,2016,24.9,11685.4514179182
DZA,2017,24.5,11809.4830333846
DZA,2009,28.7,12768.9937191806
DZA,2011,27.1,13543.5987190283
DZA,2005,33.8,11478.028050346
DZA,2012,26.5,13347.3627953184
DZA,2018,24,12007.7747128947
DZA,2004,35.3,10653.3430333517
DZA,2010,27.8,13141.1202585331
DZA,2015,25.3,12071.8141810043
DZA,2007,31,12392.5059189428
DZA,2008,29.8,12714.161655536
DZA,2000,41.7,8510.35927933161
DZA,2002,38.5,9354.22172489251
DZA,2003,36.9,10088.0867695762
DZA,2014,25.7,13058.1245739587
DZA,2001,40.1,8840.67416571386
DZA,2013,26.1,13104.7371038263
ASM,2000,,
ASM,2008,,
ASM,2007,,
ASM,2021,,
ASM,2009,,
ASM,2001,,
ASM,2011,,
ASM,2003,,
ASM,2012,,
ASM,2005,,
ASM,2006,,
ASM,2016,,
ASM,2017,,
ASM,2018,,
ASM,2019,,
ASM,2010,,
ASM,2020,,
ASM,2004,,
ASM,2014,,
ASM,2002,,
ASM,2013,,
ASM,2015,,
AND,2018,3.1,
AND,2003,6.5,
AND,2006,5.6,
AND,2014,3.7,
AND,2004,6.3,
AND,2016,3.4,
AND,2013,3.9,
AND,2001,7.2,
AND,2015,3.5,
AND,2019,3,
AND,2005,6,
AND,2020,2.8,
AND,2002,6.9,
AND,2007,5.4,
AND,2008,5.1,
AND,2009,4.8,
AND,2010,4.6,
AND,2011,4.3,
AND,2012,4.1,
AND,2017,3.2,
AND,2000,7.6,
AND,2021,2.8,
AGO,2006,156.8,5364.43766234147
AGO,2021,69.4,6523.46361278762
AGO,2020,72.1,6367.43731675631
AGO,2008,137.5,6615.11498307247
AGO,2000,205.1,3285.95341568284
AGO,2001,198.9,3388.14868776504
AGO,2002,191.9,3782.89222467172
AGO,2003,184.2,3839.57282705314
AGO,2004,175.5,4223.63778745545
AGO,2005,166.2,4835.66952220115
AGO,2015,88.3,7274.09047477931
AGO,2016,84.4,7027.14663413219
AGO,2017,81.1,7216.06137267002
AGO,2019,75,6882.27912260866
AGO,2010,120,6586.46581926881
