iso3c,year,EducationSpending,GDPpc,income
AFG,2015,3.2558000087738,2128.12593822669,Low income
AFG,2012,2.60419988632202,1958.44762747924,Low income
AFG,2019,,2168.13376468688,Low income
AFG,2013,3.45445990562439,2062.05917625276,Low income
AFG,2014,3.69521999359131,2110.82956797747,Low income
AFG,2011,3.4620099067688,1749.93699491677,Low income
AFG,2010,3.4794499874115,1771.19798501195,Low income
AFG,2017,4.34319019317627,2096.09311055337,Low income
AFG,2018,,2110.23938365518,Low income
AFG,2016,4.54397010803223,2023.83465629732,Low income
AFG,2020,,2078.59508637203,Low income
ALB,2010,3.41307497024536,9627.07697313628,Upper middle income
ALB,2014,3.21696710586548,11259.3036811774,Upper middle income
ALB,2016,3.96209001541138,12078.7842635213,Upper middle income
ALB,2012,3.30906105041504,10526.2388106069,Upper middle income
ALB,2015,3.43796992301941,11658.8307104915,Upper middle income
ALB,2019,3.91623997688293,14618.3006097429,Upper middle income
ALB,2011,3.24000835418701,10207.7247723504,Upper middle income
ALB,2013,3.53929996490479,10570.9731581409,Upper middle income
ALB,2020,3.3422999382019,14437.1730660262,Upper middle income
ALB,2017,3.61172008514404,12770.9664236798,Upper middle income
ALB,2018,3.15294480323792,13498.157987926,Upper middle income
DZA,2015,7.96296739578247,12071.8141810043,Lower middle income
DZA,2018,6.32453918457031,12007.7747128947,Lower middle income
DZA,2011,,13543.5987190283,Lower middle income
DZA,2016,7.34434270858765,11685.4514179182,Lower middle income
DZA,2013,7.29229640960693,13104.7371038263,Lower middle income
DZA,2014,7.31870079040527,13058.1245739587,Lower middle income
DZA,2010,,13141.1202585331,Lower middle income
DZA,2020,7.04239749908447,11452.2266239549,Lower middle income
DZA,2012,7.63759708404541,13347.3627953184,Lower middle income
DZA,2017,6.4018383026123,11809.4830333846,Lower middle income
DZA,2019,6.03690671920776,12120.4063737646,Lower middle income
ASM,2018,,,Upper middle income
ASM,2013,,,Upper middle income
ASM,2011,,,Upper middle income
ASM,2015,,,Upper middle income
ASM,2017,,,Upper middle income
ASM,2014,,,Upper middle income
ASM,2012,,,Upper middle income
ASM,2016,,,Upper middle income
ASM,2010,,,Upper middle income
ASM,2020,,,Upper middle income
ASM,2019,,,Upper middle income
AND,2017,3.21708989143372,,High income
AND,2016,3.23707008361816,,High income
AND,2020,2.85616278648376,,High income
AND,2015,3.28034996986389,,High income
AND,2012,2.56577897071838,,High income
AND,2014,3.07420992851257,,High income
AND,2011,2.98706007003784,,High income
AND,2018,3.2467200756073,,High income
AND,2019,3.15060997009277,,High income
AND,2013,2.50616002082825,,High income
AND,2010,2.97662997245789,,High income
AGO,2019,2.07306432723999,6882.27912260866,Lower middle income
AGO,2018,2.04470133781433,7043.95535982329,Lower middle income
AGO,2010,3.42131996154785,6586.46581926881,Lower middle income
